#O0.954760001251344065
#Ihl100,Kirill
hr200,Kolia
a24,2|9,1|160
a25,2|10,1|150
#Am11,1|5,1
m12,1|5,2
m13,1|5,3
m14,1|5,4
m15,1|5,5
m26,1|6,1
m28,1|6,3
m30,1|6,5
#Aa11,1|26,1|-10
a12,1|28,1|70
a13,1|28,1|50
a14,1|28,1|30
a15,1|30,1|100
d26,1
a28,1|13,1|90
a30,1|15,1|90
#Am11,1|4,1
m12,1|4,2
m13,1|4,3
m14,1|4,4
m15,1|4,5
m28,1|7,3
m30,1|7,5
#Aa1,2|28,1|20
a2,2|28,1|10
a3,2|28,1|-10
a4,2|30,1|90
a5,2|30,1|70
a16,2|11,1|60
a17,2|12,1|110
a18,2|13,1|70
a19,2|14,1|80
a20,2|15,1|70
a21,2|6,1|160
a22,2|7,1|140
a23,2|8,1|130
a24,2|9,1|140
a25,2|10,1|130
d28,1
#Am11,1|5,1
m12,1|5,2
m13,1|5,3
m14,1|5,4
m15,1|5,5
m30,1|6,5
#Aa11,1|30,1|40
a12,1|30,1|20
a13,1|30,1|-10
a15,1|30,1|-40
d30,1
#Av11,1
v12,1
v13,1
v14,1
v15,1
#Aa1,2|21,2|60
a2,2|22,2|210
a3,2|23,2|210
a4,2|24,2|210
a5,2|25,2|60
a16,2|11,1|50
a17,2|12,1|90
a18,2|13,1|50
a19,2|14,1|60
a20,2|15,1|20
a21,2|6,1|140
a22,2|7,1|120
a23,2|8,1|110
a24,2|9,1|120
a25,2|10,1|120
#Am11,1|7,1
m12,1|7,2
m13,1|7,3
m14,1|7,4
m15,1|7,5
#Aa11,1|21,2|10
a12,1|22,2|210
a13,1|23,2|60
a14,1|24,2|210
a15,1|25,2|10
#Am11,1|6,1
m12,1|6,2
m13,1|6,3
m14,1|6,4
m15,1|6,5
#Aa1,2|21,2|-3
a2,2|22,2|63
a3,2|23,2|70
a4,2|24,2|63
a5,2|25,2|-3
a16,2|11,1|30
a17,2|12,1|80
a18,2|13,1|30
a19,2|14,1|40
a20,2|15,1|0
d21,2
a22,2|7,1|100
a23,2|8,1|100
a24,2|9,1|110
d25,2
#Am11,1|7,1
m12,1|7,2
m13,1|7,3
m14,1|7,4
#Aa11,1|22,2|63
a12,1|22,2|63
a13,1|23,2|13
a14,1|24,2|11
#Am11,1|6,1
m12,1|6,2
m13,1|6,3
m14,1|6,4
#Aa1,2|22,2|14
a2,2|22,2|24
a3,2|23,2|-2
a4,2|24,2|-3
a5,2|22,2|1
d11,1
a16,2|11,1|10
a17,2|12,1|60
a18,2|13,1|20
a19,2|14,1|20
a20,2|11,1|-10
a22,2|7,1|80
d23,2
d24,2
#Am12,1|7,2
m13,1|7,3
m14,1|7,4
#Aa12,1|22,2|1
a13,1|22,2|-10
d22,2
#Av12,1
v13,1
v14,1
#Aa1,2|16,2|60
a2,2|17,2|210
a3,2|18,2|210
a4,2|19,2|210
a5,2|20,2|210
a16,2|12,1|40
a17,2|12,1|30
a18,2|13,1|0
a19,2|14,1|10
a20,2|12,1|10
#Am12,1|8,2
m14,1|8,4
#Aa12,1|17,2|210
a14,1|19,2|60
#Am12,1|7,2
m14,1|7,4
#Aa1,2|16,2|13
a2,2|17,2|63
a3,2|18,2|63
a4,2|19,2|13
a5,2|20,2|63
d12,1
d14,1
a16,2|12,1|0
a17,2|12,1|-20
a18,2|14,1|-10
a19,2|14,1|-30
a20,2|10,1|90
#Am6,1|8,1
m7,1|8,2
m8,1|8,3
m9,1|8,4
m10,1|8,5
#Aa6,1|16,2|13
a7,1|17,2|11
a8,1|18,2|63
a9,1|19,2|-6
a10,1|20,2|63
d19,2
#Am6,1|7,1
m7,1|7,2
m8,1|7,3
m9,1|7,4
m10,1|7,5
#Aa1,2|16,2|23
a2,2|17,2|21
a3,2|18,2|14
a4,2|16,2|1
a5,2|20,2|14
a16,2|6,1|120
a17,2|7,1|70
a18,2|8,1|70
a20,2|10,1|70
#Am6,1|8,1
m7,1|8,2
m8,1|8,3
m9,1|8,4
m10,1|8,5
#Aa6,1|16,2|1
a7,1|17,2|-3
a8,1|18,2|-5
a9,1|16,2|-10
a10,1|20,2|-5
d16,2
d17,2
d18,2
d20,2
#Av6,1
v7,1
v8,1
v9,1
v10,1
